UW  Arboretum (vacuumed)
2
6
7
16
3
5
1
43
17
1
6
63
27
3
61
1
131
76
1
1
1
1
2
3
1
16
2
2
280
1
15
1
1
1
26
5
8
55
8
46
302
15
1
243
2
3
1
1
1
2
6
9
26
26
5
172
1
1
1
8
1
1
3
2
