Relative Abundance (Number of Days)
1
1
6
3
1
2
1
1
4
1
71
15
9
11
18
16
20
11
2
12
41
2
3
9
7
1
1
11
6
54
1
55
1
1
3
14
3
9
27
1
20
10
12
26
38
2
1
2
2
6
5
1
6
4
4
4
4
49
62
11
4
