original_image_file,cropped_image_file,det_num,det_confidence,species1,prob1,species2,prob2,species3,prob3,entropy,classification_precision
Braatz_images\20-07-20_done\B5\Q7207590.JPG,Q7207590_1.jpg,1,0.4599,Bombus_impatiens,41.3,Hylaeus_leptocephalus,27.3,Anthophora_abrupta,9.9,1.9398,0.9491
Braatz_images\20-07-20_done\B5\Q7207591.JPG,Q7207591_1.jpg,1,0.8357,Wasp,99.8,Coleoptera,0.2,Syrphidae,0.0,0.0160,0.9575
Braatz_images\20-07-20_done\B5\Q7207592.JPG,Q7207592_1.jpg,1,0.6727,Wasp,93.5,Coleoptera,6.5,Sphecodes,0.0,0.2402,0.9575
Braatz_images\20-07-20_done\B5\Q7207593.JPG,Q7207593_1.jpg,1,0.7789,Wasp,99.9,Stelis,0.1,Syrphidae,0.0,0.0112,0.9575
Braatz_images\20-07-20_done\B5\Q7207593.JPG,Q7207593_2.jpg,2,0.7595,Halictus_tripartitus,97.6,Halictus,2.0,Halictus_ligatus,0.3,0.1314,0.7959
Braatz_images\20-07-20_done\B5\Q7207594.JPG,Q7207594_1.jpg,1,0.8078,Wasp,98.6,Syrphidae,1.3,Anthidiellum,0.1,0.0814,0.9575
Braatz_images\20-07-20_done\B5\Q7207594.JPG,Q7207594_2.jpg,2,0.7147,Megachile,23.8,Lasioglossum,21.3,Nomia,21.1,2.4759,0.9648
Braatz_images\20-07-20_done\B5\Q7207595.JPG,Q7207595_1.jpg,1,0.7628,Wasp,99.1,Syrphidae,0.8,Lasioglossum,0.0,0.0556,0.9575
Braatz_images\20-07-20_done\B5\Q7207595.JPG,Q7207595_2.jpg,2,0.5974,Lasioglossum,84.6,Halictus,8.1,Halictus_ligatus,3.0,0.6570,0.9521
Braatz_images\20-07-20_done\B5\Q7207596.JPG,Q7207596_1.jpg,1,0.7714,Wasp,93.4,Nomada,2.8,Syrphidae,2.7,0.3353,0.9575
Braatz_images\20-07-20_done\B5\Q7207596.JPG,Q7207596_2.jpg,2,0.4248,Andrena_wilkella,77.6,Colletes_inaequalis,8.6,Lasioglossum,4.6,1.0229,0.8280
Braatz_images\20-07-20_done\B5\Q7207597.JPG,Q7207597_1.jpg,1,0.7340,Sphecodes,50.9,Lasioglossum,32.3,Colletes,10.2,1.2117,0.9383
Braatz_images\20-07-20_done\B5\Q7207597.JPG,Q7207597_2.jpg,2,0.6741,Hylaeus_modestus,100.0,Hylaeus,0.0,Ceratina,0.0,0.0000,0.8886
Braatz_images\20-07-20_done\B5\Q7207598.JPG,Q7207598_1.jpg,1,0.7414,Hylaeus,71.0,Sphecodes,14.7,Lasioglossum,11.3,0.9244,0.9337
Braatz_images\20-07-20_done\B5\Q7207598.JPG,Q7207598_2.jpg,2,0.3136,Hylaeus_modestus,98.2,Hylaeus,1.4,Ceratina,0.2,0.1026,0.8886
Braatz_images\20-07-20_done\B5\Q7207599.JPG,Q7207599_1.jpg,1,0.6877,Pseudopanurgus,71.6,Hylaeus_modestus,12.1,Meliponini,9.6,0.9780,0.8641
Braatz_images\20-07-20_done\B5\Q7207599.JPG,Q7207599_2.jpg,2,0.6628,Ceylalictus,42.7,Hylaeus_leptocephalus,27.2,Meliponini,20.1,1.4036,0.9444
Braatz_images\20-07-20_done\B5\Q7207600.JPG,Q7207600_1.jpg,1,0.7281,Hylaeus_modestus,80.6,Chelostoma,10.3,Hylaeus,5.8,0.7199,0.8886
Braatz_images\20-07-20_done\B5\Q7207600.JPG,Q7207600_2.jpg,2,0.6576,Hylaeus_modestus,99.9,Hylaeus,0.1,Wasp,0.0,0.0054,0.8886
Braatz_images\20-07-20_done\B5\Q7207601.JPG,Q7207601_1.jpg,1,0.6858,Hylaeus_modestus,80.2,Hylaeus,19.8,Hylaeus_leptocephalus,0.0,0.4985,0.8886
Braatz_images\20-07-20_done\B5\Q7207602.JPG,Q7207602_1.jpg,1,0.7870,Bombus_impatiens,99.4,Bombus_bimaculatus,0.2,Bombus_griseocollis,0.2,0.0476,0.9491
Braatz_images\20-07-20_done\B5\Q7207603.JPG,Q7207603_1.jpg,1,0.7951,Bombus_impatiens,99.9,Bombus_bimaculatus,0.1,Bombus_griseocollis,0.0,0.0107,0.9491
Braatz_images\20-07-20_done\B5\Q7207604.JPG,Q7207604_1.jpg,1,0.3940,Hylaeus,92.3,Wasp,4.9,Ceratina,2.1,0.3462,0.9337
Braatz_images\20-07-20_done\B5\Q7207605.JPG,Q7207605_1.jpg,1,0.5444,Wasp,95.2,Agapostemon_splendens,2.1,Syrphidae,0.8,0.2807,0.9575
Braatz_images\20-07-20_done\B5\Q7207606.JPG,Q7207606_1.jpg,1,0.8128,Apis_mellifera,98.8,Apis_cerana,0.2,Apis_dorsata,0.1,0.1130,0.9707
Braatz_images\20-07-20_done\B5\Q7207606.JPG,Q7207606_2.jpg,2,0.7823,Wasp,100.0,Halictus,0.0,Halictus_scabiosae,0.0,0.0023,0.9575
Braatz_images\20-07-20_done\B5\Q7207607.JPG,Q7207607_1.jpg,1,0.7833,Apis_mellifera,99.8,Colletes_hederae,0.1,Halictus_scabiosae,0.0,0.0204,0.9707
Braatz_images\20-07-20_done\B5\Q7207607.JPG,Q7207607_2.jpg,2,0.7637,Wasp,96.8,Halictus_scabiosae,3.0,Halictus,0.1,0.1527,0.9575
Braatz_images\20-07-20_done\B5\Q7207608.JPG,Q7207608_1.jpg,1,0.8044,Bombus_impatiens,98.7,Bombus_griseocollis,0.5,Xylocopa_virginica,0.3,0.0972,0.9491
Braatz_images\20-07-20_done\B5\Q7207609.JPG,Q7207609_1.jpg,1,0.7807,Bombus_impatiens,94.0,Bombus_pauloensis,1.3,Habropoda,0.8,0.3908,0.9491
Braatz_images\20-07-20_done\B5\Q7207610.JPG,Q7207610_1.jpg,1,0.7481,Apis_mellifera,99.6,Apis_cerana,0.3,Apis_florea,0.0,0.0352,0.9707
Braatz_images\20-07-20_done\B5\Q7207610.JPG,Q7207610_2.jpg,2,0.6646,Wasp,90.9,Syrphidae,9.1,Ceratina,0.0,0.3078,0.9575
Braatz_images\20-07-20_done\B5\Q7207611.JPG,Q7207611_1.jpg,1,0.7914,Macropis,47.3,Halictus_rubicundus,26.0,Andrena,17.0,1.3510,0.9765
Braatz_images\20-07-20_done\B5\Q7207612.JPG,Q7207612_1.jpg,1,0.7627,Wasp,99.4,Syrphidae,0.4,Agapostemon_splendens,0.1,0.0403,0.9575
Braatz_images\20-07-20_done\B8\Q7207512.JPG,NA,NA,,,,,,,,,
Braatz_images\20-07-20_done\B8\Q7207513.JPG,NA,NA,,,,,,,,,
Braatz_images\20-07-20_done\B8\Q7207514.JPG,NA,NA,,,,,,,,,
Braatz_images\20-07-20_done\C16\Q7207495.JPG,NA,NA,,,,,,,,,
Braatz_images\20-07-20_done\C16\Q7207496.JPG,NA,NA,,,,,,,,,
Braatz_images\20-07-20_done\C16\Q7207497.JPG,Q7207497_1.jpg,1,0.4695,Wasp,77.6,Coleoptera,9.8,Hylaeus,3.3,0.9808,0.9575
Braatz_images\20-07-20_done\C16\Q7207498.JPG,Q7207498_1.jpg,1,0.7486,Coleoptera,33.4,Hylaeus,25.5,Syrphidae,15.1,1.9077,0.9916
Braatz_images\20-07-20_done\C16\Q7207498.JPG,Q7207498_2.jpg,2,0.5810,Coleoptera,95.8,Hylaeus,1.5,Xylocopa_latipes,0.9,0.2584,0.9916
Braatz_images\20-07-20_done\C16\Q7207498.JPG,Q7207498_3.jpg,3,0.4985,Hylaeus_leptocephalus,37.6,Hylaeus_modestus,32.7,Meliponini,11.0,1.6524,0.8440
Braatz_images\20-07-20_done\C16\Q7207499.JPG,Q7207499_1.jpg,1,0.7335,Coleoptera,79.3,Hylaeus,17.8,Euryglossa,1.9,0.6295,0.9916
Braatz_images\20-07-20_done\C16\Q7207499.JPG,Q7207499_2.jpg,2,0.6800,Coleoptera,59.9,Syrphidae,13.3,Diptera,11.1,1.3919,0.9916
Braatz_images\20-07-20_done\C16\Q7207500.JPG,Q7207500_1.jpg,1,0.7166,Coleoptera,80.8,Syrphidae,6.8,Xylocopa_latipes,5.7,0.8596,0.9916
Braatz_images\20-07-20_done\C16\Q7207500.JPG,Q7207500_2.jpg,2,0.2927,Hylaeus,88.5,Coleoptera,7.0,Pachyprosopis,1.4,0.5376,0.9337
Braatz_images\20-07-20_done\C16\Q7207501.JPG,Q7207501_1.jpg,1,0.7707,Wasp,87.5,Coleoptera,12.1,Syrphidae,0.2,0.3947,0.9575
Braatz_images\20-07-20_done\C16\Q7207501.JPG,Q7207501_2.jpg,2,0.2191,Ceylalictus,35.7,Agapostemon_splendens,19.6,Bombus_ardens,19.5,2.1582,0.9444
Braatz_images\20-07-20_done\C16\Q7207502.JPG,Q7207502_1.jpg,1,0.4660,Meliponini,61.3,Coleoptera,18.6,Ceylalictus,3.5,1.5231,0.9634
Braatz_images\20-07-20_done\C16\Q7207502.JPG,Q7207502_2.jpg,2,0.4565,Wasp,48.7,Coleoptera,39.5,Syrphidae,10.0,1.0468,0.9575
Braatz_images\20-07-20_done\C16\Q7207503.JPG,Q7207503_1.jpg,1,0.6963,Wasp,100.0,Coleoptera,0.0,Syrphidae,0.0,0.0037,0.9575
Braatz_images\20-07-20_done\C16\Q7207503.JPG,Q7207503_2.jpg,2,0.5243,Hylaeus_leptocephalus,92.8,Hylaeus,3.9,Hylaeus_modestus,2.6,0.3313,0.8440
Braatz_images\20-07-20_done\C16\Q7207503.JPG,Q7207503_3.jpg,3,0.3416,Agapostemon_splendens,17.7,Coleoptera,13.7,Apis_cerana,6.9,3.3208,0.9058
Braatz_images\20-07-20_done\C16\Q7207504.JPG,Q7207504_1.jpg,1,0.5191,Hylaeus_leptocephalus,38.1,Ceylalictus,35.5,Hylaeus,17.2,1.3874,0.8440
Braatz_images\20-07-20_done\C16\Q7207504.JPG,Q7207504_2.jpg,2,0.3308,Coleoptera,18.6,Agapostemon_splendens,16.8,Xylocopa,9.4,3.1903,0.9916
Braatz_images\20-07-20_done\C3\Q7207508.JPG,NA,NA,,,,,,,,,
Braatz_images\20-07-20_done\C3\Q7207509.JPG,Q7207509_1.jpg,1,0.3152,Coleoptera,99.9,Xylocopa_sonorina,0.0,Lepidoptera,0.0,0.0095,0.9916
Braatz_images\20-07-20_done\C3\Q7207510.JPG,Q7207510_1.jpg,1,0.6199,Wasp,51.4,Coleoptera,44.7,Hylaeus,2.4,0.8886,0.9575
Braatz_images\20-07-20_done\C3\Q7207511.JPG,Q7207511_1.jpg,1,0.5211,Syrphidae,54.8,Diptera,45.1,Coleoptera,0.1,0.6989,0.9836
Braatz_images\20-07-20_done\D10\Q7207491.JPG,NA,NA,,,,,,,,,
Braatz_images\20-07-20_done\D10\Q7207492.JPG,NA,NA,,,,,,,,,
Braatz_images\20-07-20_done\D10\Q7207493.JPG,Q7207493_1.jpg,1,0.7780,Coleoptera,99.9,Coelioxys,0.0,Syrphidae,0.0,0.0091,0.9916
Braatz_images\20-07-20_done\D10\Q7207494.JPG,Q7207494_1.jpg,1,0.7839,Coleoptera,99.9,Osmia,0.0,Syrphidae,0.0,0.0132,0.9916
Braatz_images\20-07-27_done\A4\Q7278111.JPG,NA,NA,,,,,,,,,
Braatz_images\20-07-27_done\A4\Q7278112.JPG,Q7278112_1.jpg,1,0.7658,Wasp,70.4,Syrphidae,18.7,Anthidium,7.3,0.9610,0.9575
Braatz_images\20-07-27_done\A4\Q7278113.JPG,Q7278113_1.jpg,1,0.7279,Apis_mellifera,97.5,Apis_cerana,2.2,Eulaema,0.0,0.1303,0.9707
Braatz_images\20-07-27_done\A5\Q7278114.JPG,NA,NA,,,,,,,,,
Braatz_images\20-07-27_done\A5\Q7278115.JPG,Q7278115_1.jpg,1,0.7987,Wasp,100.0,Syrphidae,0.0,Hylaeus,0.0,0.0028,0.9575
Braatz_images\20-07-27_done\A5\Q7278115.JPG,Q7278115_2.jpg,2,0.7446,Coleoptera,100.0,Diptera,0.0,Thalestria,0.0,0.0038,0.9916
Braatz_images\20-07-27_done\A5\Q7278116.JPG,Q7278116_1.jpg,1,0.7516,Wasp,100.0,Syrphidae,0.0,Diptera,0.0,0.0021,0.9575
Braatz_images\20-07-27_done\A5\Q7278116.JPG,Q7278116_2.jpg,2,0.6774,Coleoptera,47.6,Augochloropsis,22.5,Osmia,10.6,1.7030,0.9916
Braatz_images\20-07-27_done\A5\Q7278117.JPG,Q7278117_1.jpg,1,0.8312,Wasp,97.6,Syrphidae,2.2,Coleoptera,0.1,0.1285,0.9575
Braatz_images\20-07-27_done\A5\Q7278118.JPG,Q7278118_1.jpg,1,0.8761,Wasp,99.9,Syrphidae,0.1,Halictus,0.0,0.0132,0.9575
Braatz_images\20-07-27_done\A5\Q7278119.JPG,Q7278119_1.jpg,1,0.8453,Wasp,99.5,Syrphidae,0.4,Meliponini,0.0,0.0303,0.9575
Braatz_images\20-07-27_done\A5\Q7278120.JPG,Q7278120_1.jpg,1,0.7434,Syrphidae,42.9,Wasp,42.6,Anthidium_oblongatum,7.5,1.2161,0.9836
Braatz_images\20-07-27_done\A5\Q7278121.JPG,Q7278121_1.jpg,1,0.7578,Wasp,95.7,Syrphidae,4.3,Nomada,0.0,0.1793,0.9575
Braatz_images\20-07-27_done\A5\Q7278122.JPG,Q7278122_1.jpg,1,0.7522,Wasp,82.4,Syrphidae,10.6,Coleoptera,5.2,0.6613,0.9575
Braatz_images\20-07-27_done\A5\Q7278122.JPG,Q7278122_2.jpg,2,0.2565,Hylaeus_leptocephalus,57.5,Meliponini,13.9,Lasioglossum,10.6,1.5177,0.8440
Braatz_images\20-07-27_done\A5\Q7278123.JPG,Q7278123_1.jpg,1,0.8140,Wasp,100.0,Syrphidae,0.0,Lasioglossum,0.0,0.0008,0.9575
Braatz_images\20-07-27_done\A5\Q7278124.JPG,Q7278124_1.jpg,1,0.7479,Diptera,100.0,Syrphidae,0.0,Coleoptera,0.0,0.0040,0.9755
Braatz_images\20-07-27_done\A5\Q7278125.JPG,Q7278125_1.jpg,1,0.7030,Wasp,99.6,Agapostemon_splendens,0.2,Nomada,0.1,0.0338,0.9575
Braatz_images\20-07-27_done\A5\Q7278126.JPG,NA,NA,,,,,,,,,
Braatz_images\20-07-27_done\A5\Q7278127.JPG,Q7278127_1.jpg,1,0.8877,Wasp,98.8,Syrphidae,0.6,Triepeolus,0.6,0.0764,0.9575
Braatz_images\20-07-27_done\A5\Q7278128.JPG,Q7278128_1.jpg,1,0.8667,Wasp,100.0,Syrphidae,0.0,Megachile,0.0,0.0007,0.9575
Braatz_images\20-07-27_done\A5\Q7278129.JPG,Q7278129_1.jpg,1,0.7814,Wasp,100.0,Nomada,0.0,Colletes_hederae,0.0,0.0035,0.9575
Braatz_images\20-07-27_done\A5\Q7278130.JPG,Q7278130_1.jpg,1,0.7510,Wasp,99.9,Syrphidae,0.1,Anthidium_florentinum,0.0,0.0105,0.9575
Braatz_images\20-07-27_done\A5\Q7278131.JPG,Q7278131_1.jpg,1,0.7647,Wasp,100.0,Ceratina,0.0,Hylaeus,0.0,0.0013,0.9575
Braatz_images\20-07-27_done\A5\Q7278132.JPG,Q7278132_1.jpg,1,0.9001,Wasp,100.0,Syrphidae,0.0,Megachile_sculpturalis,0.0,0.0051,0.9575
Braatz_images\20-07-27_done\A5\Q7278133.JPG,Q7278133_1.jpg,1,0.6921,Diptera,99.0,Coleoptera,0.8,Syrphidae,0.2,0.0649,0.9755
Braatz_images\20-07-27_done\A5\Q7278134.JPG,Q7278134_1.jpg,1,0.7432,Wasp,99.7,Andrena_hattorfiana,0.2,Andrena,0.1,0.0221,0.9575
Braatz_images\20-07-27_done\A5\Q7278135.JPG,Q7278135_1.jpg,1,0.7668,Wasp,99.2,Andrena,0.3,Megachile_sculpturalis,0.2,0.0582,0.9575
Braatz_images\20-07-27_done\A5\Q7278135.JPG,Q7278135_2.jpg,2,0.3775,Braunsapis,87.5,Hylaeus,3.6,Hylaeus_modestus,3.4,0.5821,0.9771
Braatz_images\20-07-27_done\A5\Q7278136.JPG,Q7278136_1.jpg,1,0.8019,Wasp,99.2,Megachile_sculpturalis,0.7,Halictus,0.0,0.0455,0.9575
Braatz_images\20-07-27_done\A5\Q7278137.JPG,Q7278137_1.jpg,1,0.8171,Diptera,100.0,Syrphidae,0.0,Bombus_funebris,0.0,0.0019,0.9755
Braatz_images\20-07-27_done\A5\Q7278138.JPG,Q7278138_1.jpg,1,0.7493,Diptera,74.5,Coleoptera,21.1,Wasp,3.8,0.7100,0.9755
Braatz_images\20-07-27_done\A5\Q7278139.JPG,Q7278139_1.jpg,1,0.7239,Diptera,93.9,Wasp,1.3,Xylocopa,1.1,0.3717,0.9755
Braatz_images\20-07-27_done\A5\Q7278140.JPG,Q7278140_1.jpg,1,0.7399,Diptera,100.0,Syrphidae,0.0,Coleoptera,0.0,0.0048,0.9755
Braatz_images\20-07-27_done\A5\Q7278141.JPG,Q7278141_1.jpg,1,0.8047,Diptera,99.8,Coleoptera,0.2,Lepidoptera,0.0,0.0158,0.9755
Braatz_images\20-07-27_done\A5\Q7278142.JPG,Q7278142_1.jpg,1,0.7558,Diptera,75.2,Syrphidae,11.6,Coleoptera,11.5,0.8381,0.9755
Braatz_images\20-07-27_done\A9\Q7278143.JPG,NA,NA,,,,,,,,,
Braatz_images\20-07-27_done\A9\Q7278144.JPG,Q7278144_1.jpg,1,0.7778,Sphecodes,48.2,Hylaeus,46.2,Hylaeus_modestus,4.5,0.9070,0.9383
Braatz_images\20-07-27_done\A9\Q7278145.JPG,Q7278145_1.jpg,1,0.7727,Syrphidae,71.0,Wasp,28.9,Nomada,0.0,0.6136,0.9836
Braatz_images\20-07-27_done\A9\Q7278146.JPG,Q7278146_1.jpg,1,0.6919,Diptera,99.9,Syrphidae,0.1,Coleoptera,0.0,0.0078,0.9755
Braatz_images\20-07-27_done\A9\Q7278147.JPG,Q7278147_1.jpg,1,0.7257,Halictus_tripartitus,99.8,Lasioglossum,0.1,Halictus_ligatus,0.0,0.0140,0.7959
Braatz_images\20-07-27_done\A9\Q7278148.JPG,Q7278148_1.jpg,1,0.6874,Halictus_tripartitus,97.1,Lasioglossum,1.5,Halictus,1.2,0.1567,0.7959
Braatz_images\20-07-27_done\A9\Q7278149.JPG,Q7278149_1.jpg,1,0.7045,Halictus_tripartitus,92.4,Lasioglossum,5.4,Hylaeus_leptocephalus,1.7,0.3310,0.7959
Braatz_images\20-07-27_done\A9\Q7278150.JPG,Q7278150_1.jpg,1,0.6749,Halictus_tripartitus,57.8,Lasioglossum,40.2,Halictus,1.8,0.7688,0.7959
Braatz_images\20-07-27_done\B5\Q7278096.JPG,NA,NA,,,,,,,,,
Braatz_images\20-07-27_done\B5\Q7278097.JPG,Q7278097_1.jpg,1,0.6338,Hylaeus_leptocephalus,99.6,Hylaeus,0.4,Lasioglossum,0.0,0.0267,0.8440
Braatz_images\20-07-27_done\B5\Q7278097.JPG,Q7278097_2.jpg,2,0.6168,Coleoptera,99.8,Syrphidae,0.2,Diptera,0.0,0.0168,0.9916
Braatz_images\20-07-27_done\B5\Q7278098.JPG,Q7278098_1.jpg,1,0.6528,Ceratina,55.0,Hylaeus,32.7,Lasioglossum,6.2,1.1202,0.9505
Braatz_images\20-07-27_done\B5\Q7278098.JPG,Q7278098_2.jpg,2,0.5588,Hylaeus_leptocephalus,67.4,Hylaeus_modestus,21.8,Hylaeus,9.8,0.8867,0.8440
Braatz_images\20-07-27_done\B5\Q7278098.JPG,Q7278098_3.jpg,3,0.3553,Halictus_tripartitus,97.5,Lasioglossum,2.1,Halictus,0.4,0.1323,0.7959
Braatz_images\20-07-27_done\B5\Q7278099.JPG,Q7278099_1.jpg,1,0.7094,Halictus_tripartitus,92.8,Halictus,3.6,Halictus_ligatus,3.4,0.3161,0.7959
Braatz_images\20-07-27_done\B5\Q7278099.JPG,Q7278099_2.jpg,2,0.5257,Lasioglossum,53.3,Hylaeus_leptocephalus,19.4,Ceratina,14.3,1.4013,0.9521
Braatz_images\20-07-27_done\B5\Q7278100.JPG,Q7278100_1.jpg,1,0.7225,Halictus_tripartitus,97.3,Lasioglossum,0.9,Halictus,0.9,0.1641,0.7959
Braatz_images\20-07-27_done\B5\Q7278100.JPG,Q7278100_2.jpg,2,0.5864,Hylaeus_leptocephalus,100.0,Ceratina,0.0,Perdita,0.0,0.0008,0.8440
Braatz_images\20-07-27_done\B5\Q7278101.JPG,Q7278101_1.jpg,1,0.6200,Syrphidae,100.0,Diptera,0.0,Epeolus,0.0,0.0022,0.9836
Braatz_images\20-07-27_done\B5\Q7278101.JPG,Q7278101_2.jpg,2,0.2459,Lasioglossum,72.5,Halictus_tripartitus,13.0,Halictus,11.4,0.8776,0.9521
Braatz_images\20-07-27_done\B5\Q7278102.JPG,Q7278102_1.jpg,1,0.4803,Syrphidae,85.0,Epeolus,11.5,Meliponini,2.9,0.5342,0.9836
Braatz_images\20-07-27_done\B5\Q7278102.JPG,Q7278102_2.jpg,2,0.4725,Wasp,81.6,Syrphidae,12.1,Coleoptera,2.5,0.6901,0.9575
Braatz_images\20-07-27_done\B5\Q7278103.JPG,Q7278103_1.jpg,1,0.5592,Hylaeus,58.5,Hyleoides,10.5,Coleoptera,9.0,1.5348,0.9337
Braatz_images\20-07-27_done\B5\Q7278103.JPG,Q7278103_2.jpg,2,0.4419,Syrphidae,94.6,Diptera,4.2,Lipotriches,0.5,0.2546,0.9836
Braatz_images\20-07-27_done\B5\Q7278103.JPG,Q7278103_3.jpg,3,0.3897,Halictus_tripartitus,99.0,Halictus,0.5,Lasioglossum,0.5,0.0640,0.7959
Braatz_images\20-07-27_done\B5\Q7278104.JPG,Q7278104_1.jpg,1,0.7786,Wasp,76.3,Stelis,22.5,Lasioglossum,0.6,0.6157,0.9575
Braatz_images\20-07-27_done\B5\Q7278104.JPG,Q7278104_2.jpg,2,0.3246,Meliponini,61.0,Hylaeus,8.6,Hylaeus_modestus,7.2,1.6955,0.9634
Braatz_images\20-07-27_done\B5\Q7278105.JPG,Q7278105_1.jpg,1,0.6332,Ceylalictus,82.4,Perdita,17.0,Meliponini,0.5,0.5006,0.9444
Braatz_images\20-07-27_done\B5\Q7278105.JPG,Q7278105_2.jpg,2,0.3418,Wasp,99.0,Stelis,0.8,Hylaeus,0.1,0.0590,0.9575
Braatz_images\20-07-27_done\B5\Q7278106.JPG,Q7278106_1.jpg,1,0.6754,Wasp,94.5,Hylaeus,4.1,Stelis,0.9,0.2621,0.9575
Braatz_images\20-07-27_done\B8\Q7278107.JPG,NA,NA,,,,,,,,,
Braatz_images\20-07-27_done\B8\Q7278108.JPG,Q7278108_1.jpg,1,0.8245,Wasp,100.0,Ceratina,0.0,Meliponini,0.0,0.0027,0.9575
Braatz_images\20-07-27_done\B8\Q7278109.JPG,Q7278109_1.jpg,1,0.8448,Wasp,99.9,Coleoptera,0.1,Syrphidae,0.0,0.0097,0.9575
Braatz_images\20-07-27_done\B8\Q7278110.JPG,Q7278110_1.jpg,1,0.8853,Wasp,100.0,Syrphidae,0.0,Calliopsis,0.0,0.0018,0.9575
Braatz_images\20-07-27_done\B8\Q7278110.JPG,Q7278110_2.jpg,2,0.7357,Wasp,98.9,Syrphidae,1.0,Coleoptera,0.1,0.0628,0.9575
Braatz_images\20-07-27_done\B8\Q7278110.JPG,Q7278110_3.jpg,3,0.2895,Hylaeus,34.9,Meliponini,30.3,Hylaeus_leptocephalus,13.8,1.8412,0.9337
Braatz_images\20-07-27_done\C16\Q7278072.JPG,NA,NA,,,,,,,,,
Braatz_images\20-07-27_done\C16\Q7278073.JPG,Q7278073_1.jpg,1,0.7232,Wasp,92.3,Syrphidae,5.9,Hylaeus,1.2,0.3281,0.9575
Braatz_images\20-07-27_done\C16\Q7278074.JPG,Q7278074_1.jpg,1,0.7821,Wasp,100.0,Hyleoides,0.0,Apis_dorsata,0.0,0.0034,0.9575
Braatz_images\20-07-27_done\C16\Q7278075.JPG,Q7278075_1.jpg,1,0.5020,Wasp,100.0,Syrphidae,0.0,Coleoptera,0.0,0.0027,0.9575
Braatz_images\20-07-27_done\C16\Q7278076.JPG,Q7278076_1.jpg,1,0.7503,Syrphidae,53.6,Wasp,46.4,Anthidiellum,0.0,0.6951,0.9836
Braatz_images\20-07-27_done\C16\Q7278077.JPG,Q7278077_1.jpg,1,0.7980,Wasp,99.6,Coleoptera,0.1,Hylaeus_modestus,0.1,0.0326,0.9575
Braatz_images\20-07-27_done\C16\Q7278078.JPG,Q7278078_1.jpg,1,0.7870,Wasp,95.9,Syrphidae,4.0,Coleoptera,0.1,0.1754,0.9575
Braatz_images\20-07-27_done\C16\Q7278079.JPG,Q7278079_1.jpg,1,0.8340,Wasp,99.6,Syrphidae,0.2,Coleoptera,0.1,0.0300,0.9575
Braatz_images\20-07-27_done\C16\Q7278080.JPG,Q7278080_1.jpg,1,0.7705,Apis_mellifera,99.6,Bombus_huntii,0.1,Syrphidae,0.1,0.0333,0.9707
Braatz_images\20-07-27_done\C16\Q7278081.JPG,Q7278081_1.jpg,1,0.7203,Wasp,98.9,Dianthidium,0.7,Anthidiellum,0.3,0.0707,0.9575
Braatz_images\20-07-27_done\C16\Q7278082.JPG,Q7278082_1.jpg,1,0.7622,Wasp,99.2,Nomada_goodeniana,0.3,Ceratina,0.2,0.0569,0.9575
Braatz_images\20-07-27_done\C16\Q7278083.JPG,Q7278083_1.jpg,1,0.7983,Wasp,100.0,Syrphidae,0.0,Ceratina,0.0,0.0005,0.9575
Braatz_images\20-07-27_done\C16\Q7278084.JPG,Q7278084_1.jpg,1,0.7681,Coleoptera,98.9,Diptera,0.9,Thalestria,0.1,0.0675,0.9916
Braatz_images\20-07-27_done\C16\Q7278084.JPG,Q7278084_2.jpg,2,0.5987,Hylaeus_modestus,41.8,Hylaeus_leptocephalus,37.0,Hylaeus,19.3,1.1597,0.8886
Braatz_images\20-07-27_done\C16\Q7278085.JPG,Q7278085_1.jpg,1,0.7001,Meliponini,67.6,Lepidoptera,11.7,Pseudopanurgus,8.7,1.2112,0.9634
Braatz_images\20-07-27_done\C16\Q7278086.JPG,Q7278086_1.jpg,1,0.8481,Wasp,98.6,Syrphidae,1.3,Apis_mellifera,0.0,0.0767,0.9575
Braatz_images\20-07-27_done\C16\Q7278087.JPG,Q7278087_1.jpg,1,0.8158,Wasp,99.9,Syrphidae,0.1,Hylaeus,0.0,0.0075,0.9575
Braatz_images\20-07-27_done\C16\Q7278088.JPG,Q7278088_1.jpg,1,0.6441,Diptera,97.6,Syrphidae,2.4,Coleoptera,0.0,0.1136,0.9755
Braatz_images\20-07-27_done\C16\Q7278089.JPG,Q7278089_1.jpg,1,0.5341,Bombus_opifex,19.5,Coleoptera,9.5,Xylocopa_latipes,9.4,3.0596,0.8941
Braatz_images\20-07-27_done\C16\Q7278089.JPG,Q7278089_2.jpg,2,0.4841,Diptera,94.7,Syrphidae,4.2,Coleoptera,1.0,0.2395,0.9755
Braatz_images\20-07-27_done\C16\Q7278090.JPG,Q7278090_1.jpg,1,0.5809,Hylaeus,88.7,Nomia,4.8,Ceratina,1.0,0.6135,0.9337
Braatz_images\20-07-27_done\C16\Q7278090.JPG,Q7278090_2.jpg,2,0.5103,Hylaeus,49.6,Ceylalictus,34.2,Hylaeus_modestus,8.9,1.1945,0.9337
Braatz_images\20-07-27_done\C16\Q7278091.JPG,Q7278091_1.jpg,1,0.6447,Xylocopa_latipes,29.9,Eulaema,21.3,Xylocopa,16.5,2.3311,0.8312
Braatz_images\20-07-27_done\C16\Q7278091.JPG,Q7278091_2.jpg,2,0.4865,Wasp,83.4,Hylaeus_modestus,8.6,Hylaeus,3.4,0.6787,0.9575
