original_image_file,cropped_image_file,det_num,det_confidence,species1,prob1,species2,prob2,species3,prob3,entropy,classification_precision
Braatz_images\20-07-10_done\A11\Q7106576.JPG,Q7106576_1.jpg,1,0.6681,Bombus_affinis,26.7,Bombus_melanopygus,19.0,Bombus_rufocinctus,11.4,2.3613,0.9677
Braatz_images\20-07-10_done\A11\Q7106576.JPG,Q7106576_2.jpg,2,0.2991,Coleoptera,39.5,Perdita,12.9,Meliponini,7.3,2.1678,0.9916
Braatz_images\20-07-10_done\A11\Q7106577.JPG,Q7106577_1.jpg,1,0.7919,Bombus_affinis,100.0,Anthophora_bomboides,0.0,Bombus_terricola,0.0,0.0021,0.9677
Braatz_images\20-07-10_done\A11\Q7106577.JPG,Q7106577_2.jpg,2,0.4383,Perdita,45.9,Hylaeus_leptocephalus,20.7,Wasp,13.3,1.6347,0.9145
Braatz_images\20-07-10_done\A11\Q7106578.JPG,Q7106578_1.jpg,1,0.6852,Halictus_tripartitus,87.8,Halictus_ligatus,9.2,Halictus,1.5,0.4605,0.7959
Braatz_images\20-07-10_done\A11\Q7106579.JPG,Q7106579_1.jpg,1,0.8775,Wasp,85.5,Hylaeus,12.0,Hyleoides,0.7,0.5317,0.9575
Braatz_images\20-07-10_done\A11\Q7106580.JPG,Q7106580_1.jpg,1,0.8639,Wasp,86.9,Hylaeus,6.4,Syrphidae,3.3,0.5965,0.9575
Braatz_images\20-07-10_done\A11\Q7106581.JPG,Q7106581_1.jpg,1,0.7489,Wasp,70.9,Syrphidae,26.4,Nomada,2.1,0.7114,0.9575
Braatz_images\20-07-10_done\A11\Q7106581.JPG,Q7106581_2.jpg,2,0.3395,Hylaeus,37.9,Hylaeus_modestus,19.5,Meliponini,13.4,1.9259,0.9337
Braatz_images\20-07-10_done\A11\Q7106582.JPG,Q7106582_1.jpg,1,0.3137,Xylocopa,37.1,Xylocopa_latipes,11.3,Xylocopa_micans,6.7,2.6547,0.9092
Braatz_images\20-07-10_done\A11\Q7106583.JPG,Q7106583_1.jpg,1,0.6692,Epeolus,44.5,Syrphidae,23.6,Brachymelecta,16.5,1.5224,0.9331
Braatz_images\20-07-10_done\A11\Q7106584.JPG,NA,NA,,,,,,,,,
Braatz_images\20-07-10_done\A11\Q7106585.JPG,Q7106585_1.jpg,1,0.7826,Bombus_affinis,99.6,Bombus_perplexus,0.2,Bombus_vagans_sandersoni,0.1,0.0292,0.9677
Braatz_images\20-07-10_done\A11\Q7106586.JPG,Q7106586_1.jpg,1,0.5200,Trachusa,43.7,Ceratina,20.7,Paranthidium,20.5,1.4518,0.9030
Braatz_images\20-07-10_done\A11\Q7106587.JPG,Q7106587_1.jpg,1,0.6926,Hylaeus,87.8,Ceratina,3.9,Wasp,3.1,0.5905,0.9337
Braatz_images\20-07-10_done\A11\Q7106587.JPG,Q7106587_2.jpg,2,0.5404,Lepidoptera,36.1,Lasioglossum,10.2,Meliponini,9.6,2.7292,0.9686
Braatz_images\20-07-10_done\A11\Q7106588.JPG,Q7106588_1.jpg,1,0.6539,Coleoptera,99.5,Wasp,0.3,Perdita,0.1,0.0364,0.9916
Braatz_images\20-07-10_done\A11\Q7106588.JPG,Q7106588_2.jpg,2,0.6010,Apis_mellifera,89.3,Apis_cerana,5.3,Osmia_bicornis,2.9,0.5095,0.9707
Braatz_images\20-07-10_done\A11\Q7106589.JPG,Q7106589_1.jpg,1,0.7629,Wasp,98.6,Syrphidae,0.7,Nomada,0.6,0.0892,0.9575
Braatz_images\20-07-10_done\A11\Q7106590.JPG,Q7106590_1.jpg,1,0.7143,Apis_mellifera,98.2,Andrena,0.7,Apis_cerana,0.4,0.1295,0.9707
Braatz_images\20-07-10_done\A11\Q7106591.JPG,Q7106591_1.jpg,1,0.5121,Halictus,66.4,Halictus_ligatus,27.9,Halictus_rubicundus,2.4,0.8650,0.8217
Braatz_images\20-07-10_done\A11\Q7106592.JPG,Q7106592_1.jpg,1,0.7070,Lasioglossum,46.6,Halictus_ligatus,30.3,Halictus,17.4,1.2658,0.9521
Braatz_images\20-07-10_done\A11\Q7106593.JPG,Q7106593_1.jpg,1,0.6466,Halictus_tripartitus,68.4,Lasioglossum,27.9,Halictus,2.4,0.7696,0.7959
Braatz_images\20-07-10_done\A11\Q7106593.JPG,Q7106593_2.jpg,2,0.4737,Hylaeus_leptocephalus,44.9,Hylaeus_modestus,12.8,Hylaeus,11.1,2.1697,0.8440
Braatz_images\20-07-10_done\A11\Q7106594.JPG,Q7106594_1.jpg,1,0.5421,Ceratina,78.3,Augochlora,13.2,Lasioglossum,7.0,0.7340,0.9505
Braatz_images\20-07-10_done\A11\Q7106594.JPG,Q7106594_2.jpg,2,0.5061,Meliponini,41.9,Hylaeus_modestus,26.4,Chelostoma,9.0,1.8277,0.9634
Braatz_images\20-07-10_done\A11\Q7106594.JPG,Q7106594_3.jpg,3,0.2882,Halictus_ligatus,74.4,Halictus,21.2,Halictus_rubicundus,2.3,0.7304,0.9442
Braatz_images\20-07-10_done\A11\Q7106595.JPG,Q7106595_1.jpg,1,0.5782,Meliponini,52.2,Chelostoma,26.0,Lasioglossum,4.2,1.6470,0.9634
Braatz_images\20-07-10_done\A11\Q7106595.JPG,Q7106595_2.jpg,2,0.5372,Halictus,49.1,Lasioglossum,19.4,Andrena,14.0,1.5125,0.8217
Braatz_images\20-07-10_done\A11\Q7106596.JPG,Q7106596_1.jpg,1,0.8007,Wasp,86.4,Syrphidae,12.7,Ceylalictus,0.3,0.4466,0.9575
Braatz_images\20-07-10_done\A11\Q7106597.JPG,Q7106597_1.jpg,1,0.7036,Wasp,99.9,Syrphidae,0.1,Hylaeus,0.0,0.0121,0.9575
Braatz_images\20-07-10_done\A11\Q7106598.JPG,Q7106598_1.jpg,1,0.7781,Apis_mellifera,80.2,Apis_dorsata,12.2,Apis_cerana,3.7,0.7218,0.9707
Braatz_images\20-07-10_done\A11\Q7106599.JPG,Q7106599_1.jpg,1,0.2819,Lepidoptera,89.3,Andrena_fulva,4.4,Xylocopa_augusti,2.6,0.5155,0.9686
Braatz_images\20-07-10_done\A11\Q7106600.JPG,Q7106600_1.jpg,1,0.4085,Apis_cerana,79.1,Agapostemon_splendens,5.6,Coleoptera,4.5,1.0317,0.9488
Braatz_images\20-07-10_done\A11\Q7106601.JPG,NA,NA,,,,,,,,,
Braatz_images\20-07-10_done\A11\Q7106602.JPG,NA,NA,,,,,,,,,
Braatz_images\20-07-10_done\A11\Q7106603.JPG,NA,NA,,,,,,,,,
Braatz_images\20-07-10_done\A11\Q7106604.JPG,Q7106604_1.jpg,1,0.4463,Lepidoptera,90.5,Xylocopa_aestuans,7.9,Xylocopa_sonorina,0.7,0.3841,0.9686
Braatz_images\20-07-10_done\A11\Q7106605.JPG,Q7106605_1.jpg,1,0.7775,Diptera,82.3,Syrphidae,17.4,Coleoptera,0.2,0.4825,0.9755
Braatz_images\20-07-10_done\A11\Q7106606.JPG,Q7106606_1.jpg,1,0.8083,Wasp,96.8,Nomada,1.1,Dianthidium,0.7,0.2015,0.9575
Braatz_images\20-07-10_done\A11\Q7106607.JPG,Q7106607_1.jpg,1,0.7565,Wasp,97.0,Nomada,2.9,Syrphidae,0.0,0.1396,0.9575
Braatz_images\20-07-10_done\A11\Q7106607.JPG,Q7106607_2.jpg,2,0.2667,Hylaeus,50.7,Wasp,44.9,Hylaeus_modestus,2.3,0.8861,0.9337
Braatz_images\20-07-10_done\A11\Q7106608.JPG,Q7106608_1.jpg,1,0.6075,Lasioglossum,54.9,Hylaeus_leptocephalus,30.1,Halictus,6.0,1.2289,0.9521
Braatz_images\20-07-10_done\A11\Q7106608.JPG,Q7106608_2.jpg,2,0.2586,Hylaeus_leptocephalus,81.9,Lasioglossum,15.3,Hylaeus,1.8,0.5924,0.8440
Braatz_images\20-07-10_done\A11\Q7106609.JPG,Q7106609_1.jpg,1,0.7659,Wasp,97.7,Ceratina,1.3,Syrphidae,0.4,0.1393,0.9575
Braatz_images\20-07-10_done\A11\Q7106682.JPG,Q7106682_1.jpg,1,0.7978,Apis_mellifera,77.4,Apis_cerana,18.9,Xylocopa,1.9,0.7012,0.9707
Braatz_images\20-07-10_done\A11\Q7106683.JPG,Q7106683_1.jpg,1,0.7270,Diptera,100.0,Syrphidae,0.0,Pseudaugochlora,0.0,0.0010,0.9755
